Temporada,Insumo,q,Demanda_Total,CTE
2,Azúcar,190.05773644736843,121.03999999999999,280616.431358113
2,Azúcar,202.50693315789474,121.03999999999999,283706.4929479818
2,Azúcar,214.95612986842104,121.03999999999999,286932.6010902007
2,Azúcar,227.40532657894735,121.03999999999999,290272.41237288737
2,Azúcar,239.85452328947366,121.03999999999999,293708.2221547925
2,Azúcar,252.30372,121.03999999999999,297225.8201317555
2,Sal,17.8543075,148.1,493979.04358515656
2,Sal,31.94981342105263,148.1,389021.9330311386
2,Sal,46.045319342105266,148.1,351280.53700508
2,Sal,60.14082526315789,148.1,333493.8062295095
2,Sal,74.23633118421053,148.1,324295.1592326299
2,Sal,88.33183710526316,148.1,319573.2793118765
2,Sal,102.4273430263158,148.1,317479.9598761881
2,Sal,116.52284894736843,148.1,317061.2878463071
2,Sal,130.61835486842105,148.1,317775.11118438223
2,Sal,144.7138607894737,148.1,319290.5059192575
2,Sal,158.80936671052632,148.1,321394.0358801873
2,Sal,172.90487263157897,148.1,323941.86364775617
2,Sal,187.0003785526316,148.1,326833.5198687039
2,Sal,201.09588447368424,148.1,329996.7041673201
2,Sal,215.19139039473686,148.1,333378.05949777464
2,Sal,229.2868963157895,148.1,336937.3493992777
2,Sal,243.38240223684213,148.1,340643.6585988672
2,Sal,257.4779081578947,148.1,344472.8415913829
2,Sal,271.5734140789474,148.1,348405.76577931043
2,Sal,285.66892,148.1,352427.0747356973
2,Manteca,13.7021625,453.24,6989396.141687058
2,Manteca,24.519659210526317,453.24,6581707.548163462
