Temporada,Insumo,q,Muestra,Demanda_Total,CTE
1,Azúcar,2,44,55.19046763467308,142395.82257456306
1,Azúcar,2,45,8.858400996963912,54764.12939426682
1,Azúcar,2,46,32.68438776758239,99828.2008661253
1,Azúcar,2,47,20.813846817280012,77376.45895322725
1,Azúcar,2,48,69.73858184303651,169911.8816061627
1,Azúcar,2,49,16.59240546744213,69392.09563871614
1,Azúcar,2,50,37.1059929084612,108191.15061537201
1,Azúcar,3,1,2.1109469919530817,36883.566094724025
1,Azúcar,3,2,51.24245285941073,132300.0998898162
1,Azúcar,3,3,58.44812682946754,146293.98063377556
1,Azúcar,3,4,27.3173362111156,85835.98972429354
1,Azúcar,3,5,57.17018738859394,143812.14032183506
1,Azúcar,3,6,32.57037291675805,96037.72373389125
1,Azúcar,3,7,19.98110614855763,71588.56067986283
1,Azúcar,3,8,26.510495048309444,84269.05246644009
1,Azúcar,3,9,75.5092215563876,179427.72023426855
1,Azúcar,3,10,41.573525619398296,113522.42339751059
1,Azúcar,3,11,4.9718706620738145,42439.66325143793
1,Azúcar,3,12,53.093873989299595,135895.6784028289
1,Azúcar,3,13,53.60653478443356,136891.29852927648
1,Azúcar,3,14,54.28137867658591,138201.88862630454
1,Azúcar,3,15,74.1047667155443,176700.17890576704
1,Azúcar,3,16,63.71009355458301,156513.057313617
1,Azúcar,3,17,105.47222703642635,237617.79754843225
1,Azúcar,3,18,19.352012805799127,70366.8210824339
1,Azúcar,3,19,20.449045535076287,72497.32896407261
1,Azúcar,3,20,29.932258299511673,90914.33604024145
1,Azúcar,3,21,28.099643885556606,87355.28137510983
1,Azúcar,3,22,91.43268236480519,210352.10184105244
1,Azúcar,3,23,29.194220165494322,89481.01867466937
1,Azúcar,3,24,32.90414396414712,96685.92850312703
1,Azúcar,3,25,18.240101071685444,68207.41721963699
1,Azúcar,3,26,26.845348316073707,84919.35897701638
1,Azúcar,3,27,44.05752098622943,118346.50162758744
1,Azúcar,3,28,26.316803041506766,83892.89017329187
1,Azúcar,3,29,-20.73129849499987,-7477.538861866615
1,Azúcar,3,30,43.7008054123738,117653.7371171763
1,Azúcar,3,31,36.17659034036038,103041.22913427248
1,Azúcar,3,32,54.880438757826994,139365.3017046912
1,Azúcar,3,33,60.51308103603377,150304.25406947432
1,Azúcar,3,34,41.018721839325835,112444.95889288624
1,Azúcar,3,35,23.375595881816672,78180.87733354664
1,Azúcar,3,36,77.10625574367884,182529.26299818626
1,Azúcar,3,37,40.4562806706691,111352.66209006358
1,Azúcar,3,38,45.91246400261363,121948.9198699321
1,Azúcar,3,39,72.893041065139,174346.9300193156
1,Azúcar,3,40,28.45800509331437,88051.24181204643
1,Azúcar,3,41,45.208060912946934,120580.9239165439
1,Azúcar,3,42,51.746744828337306,133279.46721931518
1,Azúcar,3,43,50.77930811983609,131400.64311731549
1,Azúcar,3,44,55.19046763467308,139967.3976568251
1,Azúcar,3,45,8.858400996963912,49987.5542940025
1,Azúcar,3,46,32.68438776758239,96259.14788270874
1,Azúcar,3,47,20.813846817280012,73205.79643840135
1,Azúcar,3,48,69.73858184303651,168220.76800460028
1,Azúcar,3,49,16.59240546744213,65007.48673652839
1,Azúcar,3,50,37.1059929084612,104846.18849757127
1,Azúcar,4,1,2.1109469919530817,31457.27097669554
1,Azúcar,4,2,51.24245285941073,130716.82994279268
1,Azúcar,4,3,58.44812682946754,145274.332459626
1,Azúcar,4,4,27.3173362111156,82381.31722456448
1,Azúcar,4,5,57.17018738859394,142692.5327967235
1,Azúcar,4,6,32.57037291675805,92993.93935834175
1,Azúcar,4,7,19.98110614855763,67560.05441923194
1,Azúcar,4,8,26.510495048309444,80751.26952784046
1,Azúcar,4,9,75.5092215563876,179742.576576576
1,Azúcar,4,10,41.573525619398296,111182.85807333695
1,Azúcar,4,11,4.9718706620738145,37237.147182768495
1,Azúcar,4,12,53.093873989299595,134457.22506337057
1,Azúcar,4,13,53.60653478443356,135492.94508712649
1,Azúcar,4,14,54.28137867658591,136856.32090725118
1,Azúcar,4,15,74.1047667155443,176905.17996866454
1,Azúcar,4,16,63.71009355458301,155904.99576227853
1,Azúcar,4,17,105.47222703642635,240276.33504249158
1,Azúcar,4,18,19.352012805799127,66289.10766829841
1,Azúcar,4,19,20.449045535076287,68505.42452968631
1,Azúcar,4,20,29.932258299511673,87664.20055252731
1,Azúcar,4,21,28.099643885556606,83961.80032537332
1,Azúcar,4,22,91.43268236480519,211912.47792910805
1,Azúcar,4,23,29.194220165494322,86173.15446327552
1,Azúcar,4,24,32.90414396414712,93668.25141889341
1,Azúcar,4,25,18.240101071685444,64042.731002476445
1,Azúcar,4,26,26.845348316073707,81427.76798010246
1,Azúcar,4,27,44.05752098622943,116201.23233710638
1,Azúcar,4,28,26.316803041506766,80359.9568084144
1,Azúcar,4,29,-20.73129849499987,-14690.53525881475
1,Azúcar,4,30,43.7008054123738,115480.56583376805
1,Azúcar,4,31,36.17659034036038,100279.52006022926
1,Azúcar,4,32,54.880438757826994,138066.5919626224
1,Azúcar,4,33,60.51308103603377,149446.12488100812
1,Azúcar,4,34,41.018721839325835,110061.99728247746
1,Azúcar,4,35,23.375595881816672,74417.8852121083
1,Azúcar,4,36,77.10625574367884,182969.03801482197
1,Azúcar,4,37,40.4562806706691,108925.70680329186
1,Azúcar,4,38,45.91246400261363,119948.74266602327
1,Azúcar,4,39,72.893041065139,174457.1509183927
1,Azúcar,4,40,28.45800509331437,84685.79147534036
1,Azúcar,4,41,45.208060912946934,118525.64889390701
1,Azúcar,4,42,51.746744828337306,131735.6425670349
1,Azúcar,4,43,50.77930811983609,129781.14637730896
1,Azúcar,4,44,55.19046763467308,138692.9381134103
1,Azúcar,4,45,8.858400996963912,45089.03936759705
1,Azúcar,4,46,32.68438776758239,93224.28165314013
1,Azúcar,4,47,20.813846817280012,69242.42645426588
1,Azúcar,4,48,69.73858184303651,168084.2497496984
1,Azúcar,4,49,16.59240546744213,60713.91915150699
1,Azúcar,4,50,37.1059929084612,102157.1765127002
1,Sal,1,1,35.700355392449204,98637.14535064652
1,Sal,1,2,50.714688578764864,128967.09981585683
1,Sal,1,3,90.64206946137996,209623.07228278913
1,Sal,1,4,16.930452723037753,60720.69003989451
1,Sal,1,5,75.50691108522227,179049.0428752764
1,Sal,1,6,-1.4667399031618835,23557.13387551576
1,Sal,1,7,108.46461772526072,245625.8085075447
1,Sal,1,8,93.12464323198199,214638.0368825831
1,Sal,1,9,88.42810726655841,205150.72098197773
1,Sal,1,10,18.71079652484832,64317.10326526161
1,Sal,1,11,83.23091578636544,194652.04754872137
1,Sal,1,12,54.983628287603416,137590.64275826392
1,Sal,1,13,71.0470341099372,170039.7939194772
1,Sal,1,14,23.730538280703495,74457.31641978015
1,Sal,1,15,116.11277351245568,261075.59331582894
1,Sal,1,16,61.21666266249501,150181.78792765806
1,Sal,1,17,33.84475074285793,94888.70019300004
1,Sal,1,18,75.69074643218325,179420.40253762255
1,Sal,1,19,42.39853136380647,112167.90756900405
1,Sal,1,20,57.41618165780014,142504.562812969
1,Sal,1,21,6.395410732206169,39439.20255017877
1,Sal,1,22,12.974385970046157,52729.171336358195
1,Sal,1,23,38.464846799030724,104221.60237851522
1,Sal,1,24,30.77420573848376,88685.99448436908
1,Sal,1,25,39.0662794280273,105436.53640355627
1,Sal,1,26,52.95565307286643,133493.99756221834
1,Sal,1,27,45.744015004885114,118926.00766168757
1,Sal,1,28,59.374150115350794,146459.7896901742
1,Sal,1,29,101.14758367402774,230844.9116911242
1,Sal,1,30,61.72664474842586,151211.98575612064
1,Sal,1,31,80.08011784161818,188287.22554781084
1,Sal,1,32,37.97074152771291,103223.4767745258
1,Sal,1,33,101.58378161762028,231726.06063079461
1,Sal,1,34,10.9150535438771,48569.18248175057
1,Sal,1,35,48.0891645286814,123663.3661169854
1,Sal,1,36,91.05974649822343,210466.80775551545
1,Sal,1,37,54.55071665528909,136716.13238656655
1,Sal,1,38,127.79348958097584,284671.4188568633
1,Sal,1,39,152.14353956730292,333860.14393351274
1,Sal,1,40,78.9247046659465,185953.21386898617
1,Sal,1,41,54.40353782888479,136418.82134066845
1,Sal,1,42,60.90324876260145,149548.67094573315
1,Sal,1,43,91.5494317339321,211456.004592766
1,Sal,1,44,53.03068794444793,133645.57300750312
1,Sal,1,45,67.533825213785,162942.8776245741
1,Sal,1,46,25.915603655569186,78871.2942169151
1,Sal,1,47,78.32899388057277,184749.83834969986
1,Sal,1,48,64.5070375248012,156828.56461156544
1,Sal,1,49,106.33956951047517,241333.06937680757
1,Sal,1,50,92.3026718267961,212977.5998201024
1,Sal,2,1,35.700355392449204,107592.92539054721
1,Sal,2,2,50.714688578764864,135570.957369106
1,Sal,2,3,90.64206946137996,209972.49923525023
1,Sal,2,4,16.930452723037753,72616.68431459606
1,Sal,2,5,75.50691108522227,181769.31899447646
1,Sal,2,6,-1.4667399031618835,38334.959164081694
1,Sal,2,7,108.46461772526072,243183.41969895313
1,Sal,2,8,93.12464323198199,214598.58069229024
1,Sal,2,9,88.42810726655841,205846.9543763888
1,Sal,2,10,18.71079652484832,75934.21531659109
1,Sal,2,11,83.23091578636544,196162.39578646357
1,Sal,2,12,54.983628287603416,143525.79160691827
1,Sal,2,13,71.0470341099372,173458.68814017455
1,Sal,2,14,23.730538280703495,85288.11026661292
