Temporada,Insumo,q,Muestra,Demanda_Total,CTE
2,Azúcar,1,17,-12.77629112872603,-2170.919602507823
2,Azúcar,1,18,139.7971058026885,314513.05406978563
2,Azúcar,1,19,131.88023362599498,298080.65765995835
2,Azúcar,1,20,113.80231806741243,260557.82438793246
2,Azúcar,1,21,65.72647704457577,160770.7797330028
2,Azúcar,1,22,54.84791938037791,138191.05785350633
2,Azúcar,1,23,115.23304073629637,263527.4570310915
2,Azúcar,1,24,46.46928983887763,120800.2298946641
2,Azúcar,1,25,119.92637900721374,273269.03087892616
2,Azúcar,1,26,52.959334107989505,134271.07769505325
2,Azúcar,1,27,101.76057588624226,235563.7766668578
2,Azúcar,1,28,74.26165491104554,178486.54209469748
2,Azúcar,1,29,52.58934590618757,133503.12380325404
2,Azúcar,1,30,112.33896309305378,257520.45956881306
2,Azúcar,1,31,174.47399758390787,386489.0086250686
2,Azúcar,1,32,116.01374854610634,265147.90762379055
2,Azúcar,1,33,133.26656429943233,300958.14951186546
2,Azúcar,1,34,58.65405195788155,146091.13226496647
2,Azúcar,1,35,75.89550050317487,181877.7801800307
2,Azúcar,1,36,78.86615718195934,188043.72640902168
2,Azúcar,1,37,248.54226200006863,540226.3754929248
2,Azúcar,1,38,38.92215918382192,105135.2753630336
2,Azúcar,1,39,115.90720300959504,264926.7598709184
2,Azúcar,1,40,172.51803235392367,382429.1734647183
2,Azúcar,1,41,121.14893147631327,275806.5818656906
2,Azúcar,1,42,181.69112562659333,401469.00404384255
2,Azúcar,1,43,82.82294258189062,196256.4984165954
2,Azúcar,1,44,184.17234689370648,406619.06969246163
2,Azúcar,1,45,181.12967336399004,400303.64404580544
2,Azúcar,1,46,124.3029868450227,282353.19357804785
2,Azúcar,1,47,172.91547387039702,383254.1099298591
2,Azúcar,1,48,60.070971746346686,149032.1154115091
2,Azúcar,1,49,93.5553816953008,218532.93411238398
2,Azúcar,1,50,142.21167856094473,319524.7829241231
2,Azúcar,2,1,69.81072054891169,170048.32354364646
2,Azúcar,2,2,154.31488746329268,329878.0864895222
2,Azúcar,2,3,164.64563674352428,349417.492282205
2,Azúcar,2,4,72.55081730422594,175230.89655563023
2,Azúcar,2,5,19.980339198454846,75799.97663294848
2,Azúcar,2,6,109.37016662735164,244870.39587285367
2,Azúcar,2,7,139.55733371113044,301965.8970201091
2,Azúcar,2,8,93.21666565568162,214317.93526267025
2,Azúcar,2,9,48.15951105747856,129097.58931519813
2,Azúcar,2,10,82.15502245283508,193396.12897240618
2,Azúcar,2,11,92.24977336814234,212489.1714187739
2,Azúcar,2,12,93.49449939795333,214843.4253395163
2,Azúcar,2,13,-1.6006393954854659,34982.07594523107
2,Azúcar,2,14,172.79493683369975,364830.9416912411
2,Azúcar,2,15,-3.4117385723858007,31556.59336034579
2,Azúcar,2,16,31.95465573599998,98447.9979497413
2,Azúcar,2,17,-12.77629112872603,13844.635834150256
2,Azúcar,2,18,139.7971058026885,302419.3979296393
2,Azúcar,2,19,131.88023362599498,287445.5587749883
2,Azúcar,2,20,113.80231806741243,253253.29271535936
2,Azúcar,2,21,65.72647704457577,162323.45393132739
2,Azúcar,2,22,54.84791938037791,141747.93255587333
2,Azúcar,2,23,115.23304073629637,255959.337557393
2,Azúcar,2,24,46.46928983887763,125900.73327177027
2,Azúcar,2,25,119.92637900721374,264836.23878790345
2,Azúcar,2,26,52.959334107989505,138175.8940705434
2,Azúcar,2,27,101.76057588624226,230477.7436679165
2,Azúcar,2,28,74.26165491104554,178466.74608970011
2,Azúcar,2,29,52.58934590618757,137476.10459570377
2,Azúcar,2,30,112.33896309305378,250485.52767846614
2,Azúcar,2,31,174.47399758390787,368006.6890120731
2,Azúcar,2,32,116.01374854610634,257435.9552051162
2,Azúcar,2,33,133.26656429943233,290067.6413419295
2,Azúcar,2,34,58.65405195788155,148946.78782912085
2,Azúcar,2,35,75.89550050317487,181556.9742194535
2,Azúcar,2,36,78.86615718195934,187175.62440086724
2,Azúcar,2,37,248.54226200006863,508098.16113370133
2,Azúcar,2,38,38.92215918382192,111626.21702523681
2,Azúcar,2,39,115.90720300959504,257234.43676566696
2,Azúcar,2,40,172.51803235392367,364307.20920588204
2,Azúcar,2,41,121.14893147631327,267148.5540080872
2,Azúcar,2,42,181.69112562659333,381657.0438564819
2,Azúcar,2,43,82.82294258189062,194659.42189382963
2,Azúcar,2,44,184.17234689370648,386349.98411516484
2,Azúcar,2,45,181.12967336399004,380595.12247066165
2,Azúcar,2,46,124.3029868450227,273114.08139337884
2,Azúcar,2,47,172.91547387039702,365058.92341930245
2,Azúcar,2,48,60.070971746346686,151626.72613480414
2,Azúcar,2,49,93.5553816953008,214958.5770948434
2,Azúcar,2,50,142.21167856094473,306986.28031732887
2,Azúcar,3,1,69.81072054891169,168360.8659956051
2,Azúcar,3,2,154.31488746329268,332473.37498248613
2,Azúcar,3,3,164.64563674352428,352536.352300646
2,Azúcar,3,4,72.55081730422594,173682.30953858508
2,Azúcar,3,5,19.980339198454846,71587.07121360062
2,Azúcar,3,6,109.37016662735164,245187.84609756697
2,Azúcar,3,7,139.55733371113044,303813.25961527636
2,Azúcar,3,8,93.21666565568162,213816.71174784013
2,Azúcar,3,9,48.15951105747856,126312.82928944154
2,Azúcar,3,10,82.15502245283508,192334.29158060593
2,Azúcar,3,11,92.24977336814234,211938.9449462467
2,Azúcar,3,12,93.49449939795333,214356.28268487597
2,Azúcar,3,13,-1.6006393954854659,29675.427412270084
2,Azúcar,3,14,172.79493683369975,368362.81545767304
2,Azúcar,3,15,-3.4117385723858007,26158.156716656526
2,Azúcar,3,16,31.95465573599998,94841.96150049848
2,Azúcar,3,17,-12.77629112872603,7971.595370899206
2,Azúcar,3,18,139.7971058026885,304278.91238681955
2,Azúcar,3,19,131.88023362599498,288903.83913673944
2,Azúcar,3,20,113.80231806741243,253795.36830147394
2,Azúcar,3,21,65.72647704457577,160429.00330427705
2,Azúcar,3,22,54.84791938037791,139302.14698914601
2,Azúcar,3,23,115.23304073629637,256573.92343583607
2,Azúcar,3,24,46.46928983887763,123030.31133729714
2,Azúcar,3,25,119.92637900721374,265688.6872077196
2,Azúcar,3,26,52.959334107989505,135634.393329124
2,Azúcar,3,27,101.76057588624226,230409.53309257512
2,Azúcar,3,28,74.26165491104554,177004.8658381904
2,Azúcar,3,29,52.58934590618757,134915.8525244465
2,Azúcar,3,30,112.33896309305378,250953.43913810197
2,Azúcar,3,31,174.47399758390787,371623.65906479646
2,Azúcar,3,32,116.01374854610634,258090.1080469853
2,Azúcar,3,33,133.26656429943233,291596.1821703533
2,Azúcar,3,34,58.65405195788155,146693.9004332537
2,Azúcar,3,35,75.89550050317487,180177.89870996785
2,Azúcar,3,36,78.86615718195934,185947.10440355106
2,Azúcar,3,37,248.54226200006863,515468.9764437105
2,Azúcar,3,38,38.92215918382192,108373.29982320323
2,Azúcar,3,39,115.90720300959504,257883.18978535754
2,Azúcar,3,40,172.51803235392367,367825.0492079708
2,Azúcar,3,41,121.14893147631327,268062.96247008996
2,Azúcar,3,42,181.69112562659333,385639.7843520233
2,Azúcar,3,43,82.82294258189062,193631.43528587677
2,Azúcar,3,44,184.17234689370648,390458.475102624
2,Azúcar,3,45,181.12967336399004,384549.4080681467
2,Azúcar,3,46,124.3029868450227,274188.3401756284
2,Azúcar,3,47,172.91547387039702,368596.90610953735
2,Azúcar,3,48,60.070971746346686,149445.64948905798
2,Azúcar,3,49,93.5553816953008,214474.52000896796
2,Azúcar,3,50,142.21167856094473,308968.16746095446
2,Azúcar,4,1,69.81072054891169,168229.9903697574
2,Azúcar,4,2,154.31488746329268,338952.3443995088
2,Azúcar,4,3,164.64563674352428,359823.3842595817
2,Azúcar,4,4,72.55081730422594,173765.76198218574
2,Azúcar,4,5,19.980339198454846,67558.5049627761
2,Azúcar,4,6,109.37016662735164,248151.27715632578
2,Azúcar,4,7,139.55733371113044,309137.9055583755
2,Azúcar,4,8,93.21666565568162,215516.62951226905
2,Azúcar,4,9,48.15951105747856,124488.41422104662
2,Azúcar,4,10,82.15502245283508,193168.97689366454
2,Azúcar,4,11,92.24977336814234,213563.23320710027
2,Azúcar,4,12,93.49449939795333,216077.932371542
2,Azúcar,4,13,-1.6006393954854659,23958.815120781357
2,Azúcar,4,14,172.79493683369975,376287.2788329611
2,Azúcar,4,15,-3.4117385723858007,20299.881766938055
2,Azúcar,4,16,31.95465573599998,91750.01624361437
2,Azúcar,4,17,-12.77629112872603,1380.8329764380474
2,Azúcar,4,18,139.7971058026885,309622.3131017681
2,Azúcar,4,19,131.88023362599498,293627.98875173717
2,Azúcar,4,20,113.80231806741243,257105.4785276047
2,Azúcar,4,21,65.72647704457577,159978.661577919
2,Azúcar,4,22,54.84791938037791,138000.89360865465
2,Azúcar,4,23,115.23304073629637,259995.94358884924
2,Azúcar,4,24,46.46928983887763,121073.68858316238
2,Azúcar,4,25,119.92637900721374,269477.81634289655
2,Azúcar,4,26,52.959334107989505,134185.4163930193
2,Azúcar,4,27,101.76057588624226,232777.74834748657
2,Azúcar,4,28,74.26165491104554,177222.1385641216
2,Azúcar,4,29,52.58934590618757,133437.93542159142
2,Azúcar,4,30,112.33896309305378,254149.08696579238
2,Azúcar,4,31,174.47399758390787,379679.45716334955
2,Azúcar,4,32,116.01374854610634,261573.1945099217
2,Azúcar,4,33,133.26656429943233,296428.76940759143
2,Azúcar,4,34,58.65405195788155,145690.35954989173
2,Azúcar,4,35,75.89550050317487,180522.96946743157
2,Azúcar,4,36,78.86615718195934,186524.53743425306
2,Azúcar,4,37,248.54226200006863,529318.3320467263
2,Azúcar,4,38,38.92215918382192,105826.34684075254
2,Azúcar,4,39,115.90720300959504,261357.94234581242
2,Azúcar,4,40,172.51803235392367,375727.8533471545
2,Azúcar,4,41,121.14893147631327,271947.71863376256
2,Azúcar,4,42,181.69112562659333,394260.1001514021
2,Azúcar,4,43,82.82294258189062,194518.3647510911
2,Azúcar,4,44,184.17234689370648,399272.8699479428
2,Azúcar,4,45,181.12967336399004,393125.80754256446
2,Azúcar,4,46,124.3029868450227,278319.8039042064
2,Azúcar,4,47,172.91547387039702,376530.79779071355
2,Azúcar,4,48,60.070971746346686,148552.93888285168
2,Azúcar,4,49,93.5553816953008,216200.93185785646
2,Azúcar,4,50,142.21167856094473,314500.43403139367
2,Sal,1,1,92.88988133646967,214163.80219545463
2,Sal,1,2,174.27536083669133,378567.8990501049
2,Sal,1,3,93.32408209994401,215040.91669807798
2,Sal,1,4,171.56155177107095,373085.82373139815
2,Sal,1,5,119.82849145942474,268581.5914003693
2,Sal,1,6,139.47266712674676,308264.1364793275
2,Sal,1,7,189.44488153751388,409211.3426453455
2,Sal,1,8,187.4937794958038,405269.9863861158
2,Sal,1,9,171.96558523543735,373901.99827771913
2,Sal,1,10,112.17667985145465,253124.42159028267
2,Sal,1,11,41.49772025409309,110348.20904491218
2,Sal,1,12,156.9893126021301,343648.92866815586
2,Sal,1,13,176.07252449337858,382198.2895041768
2,Sal,1,14,207.56532256689385,445815.84212531784
